Designator,Mid X,Mid Y,Rotation,Layer
C1,466.598,-159.032,90.0,top
C10,404.1,-132.8,270.0,top
C11,431.632,-140.25,90.0,bottom
C12,428.282,-140.25,90.0,bottom
C13,435.95,-125.49,270.0,bottom
C14,434.172,-125.49,270.0,bottom
C15,422.742,-129.074,270.0,bottom
C16,418.032,-132.425,270.0,bottom
C17,420.632,-132.425,270.0,bottom
C2,469.646,-159.004,90.0,top
C3,463.07,-160.02,180.0,top
C4,461.01,-160.02,0.0,top
C5,459.74,-174.752,270.0,bottom
C6,461.01,-126.746,270.0,top
C7,457.708,-126.774,270.0,top
C8,459.486,-126.746,270.0,top
C9,406.4,-131.7,270.0,top
CN1,450.0,-150.1,270.0,top
CN2,416.0,-150.1,270.0,top
D1,407.924,-175.006,270.0,top
D10,440.4,-154.0,0.0,bottom
D11,410.718,-174.752,90.0,top
D2,429.346,-133.9,0.0,bottom
D3,426.3,-162.5,0.0,bottom
D4,431.0,-162.5,0.0,bottom
D5,435.7,-162.5,0.0,bottom
D6,440.4,-162.5,0.0,bottom
D7,426.3,-153.99,0.0,bottom
D8,431.0,-154.0,0.0,bottom
D9,435.7,-154.0,0.0,bottom
FB1,462.534,-126.746,90.0,top
HDMI0,398.02,-132.9,270.0,top
J1,451.358,-168.656,0.0,bottom
J4,398.37,-147.32,270.0,top
J5,398.4,-164.28,270.0,top
L2,441.8,-134.45,270.0,bottom
R1,404.2,-173.1,90.0,top
R10,456.438,-132.842,180.0,top
R11,457.708,-147.064,270.0,top
R12,444.754,-145.4385,270.0,bottom
R14,438.01,-147.14,90.0,bottom
R15,439.06,-147.13,90.0,bottom
R2,407.924,-173.0,90.0,top
R3,464.058,-170.688,0.0,bottom
R4,444.332,-123.232,90.0,bottom
R5,442.3,-123.232,270.0,bottom
R6,434.934,-123.486,180.0,bottom
R9,420.632,-122.9,0.0,bottom
RJ2,465.836,-137.414,270.0,bottom
U1,464.058,-157.988,0.0,bottom
U2,410.0,-171.5,90.0,top
U3,405.0,-130.2,0.0,top
U4,461.01,-171.704,0.0,bottom
U5,426.298,-125.264,0.0,bottom
U6,429.26,-176.53,0.0,bottom
U7,418.846,-176.53,0.0,bottom
U8,418.592,-171.958,270.0,bottom
U9,429.514,-171.958,270.0,bottom
